image_num,format,name,category,description
1,Box,BarkBox,Animals & Pets,"BarkBox is a monthly surprise of dog toys, treats, and goodies! Subscribe to BarkBox for your pup - or give BarkBox as the perfect dog gift."
2,Box,Randocrate,Art & Culture,"Random, excellet and unique delivered to your door once a month."
3,Box,PupJoy,Animals & Pets,"A monthly box of bliss for your dog. Customized ordering, concierge service and artisan products from socially conscious companies."
4,Box,The Binky Bundle by The Bunny Chick,Animals & Pets,The Binky Bundle is the first and only subscription box in the US for your pet bunny rabbits.
5,Box,PetBox,Animals & Pets,"Enjoy a mix of healthy treats, toys, and accessories for your dog or cat each month."
6,Box,Surprise My Pet,Animals & Pets,"Surprise My Pet is for dog lovers! Each box includes tasty treats, fun toys, bones and other exciting goodies!"
7,Box,ChewChest,Animals & Pets,"A monthly box for dogs that like to rip, chew and shred! Durable toys, chews, treats and more delivered to your door every month!"
8,Box,Adventurous Paw,Animals & Pets,"A themed monthly dog treat subscription service, a customized box of dog treats, accessories & complimentary gifts for you & your loyal pet."
9,Box,KitNipBox,Animals & Pets,"Each box contains high-quality cat toys, all-natural treats, and other fun, healthy cat products."
10,Box,Pet Giftbox,Animals & Pets,Pet Gift Box is a monthly subscription service that sends a box of hand-selected treats & toys created just for cats & dogs. Spoil your pet pals!
11,Box,PawPack,Animals & Pets,An assortment of healthy and sustainable pet products delivered monthly.
12,Box,Bugsy's Box,Animals & Pets,"A monthly box of surprises for your best friend, because they are more than just dogs."
13,Box,Bully Bundles,Animals & Pets,"Bully sticks delivered monthly. High quality, low odor, 6"" bully sticks"
14,Box,Cattitude Club,Animals & Pets,"Cattitude Club is an exclusive club for Aussie cats! Perks include a mystery box of treats, toys and care products every month!"
15,Box,The Disc Golf Box Company,Fitness & Health,Let us put together a customized Box of Disc Golf Awesomeness loaded with Contributions from Retailers all across the country just for you.
16,Box,Happy Bunny Club,Animals & Pets,We aim to surprise and delight with our monthly boxes that contain all-natural toys & treats for your bunny.
17,Box,CatLadyBox,Just for Women,"Unique finds for cat lovers, delivered to your door each month. Get cat-themed jewelry, clothes, accessories, decor, books and more!"
18,Box,Pooch Party Packs,Animals & Pets,We take care in hand-selecting quality toys and treats to your pup. Your only job is to open the box and enjoy the party together!
19,Box,GHOST Spice Supply,Food & Artisan Edibles,GHOST Spice Supply is a monthly spice subscription service with a mission of turning novice home cooks into confident home chefs.
20,Box,Go Local Box,Food & Artisan Edibles,"Discover new favorites while supporting small, local businesses with a box of Louisville goodness every month!"
21,Box,Darby Smart To DIY For Box,Art & Culture,Mystery DIY Kit
22,Box,Cosmo-cube,Nerd & Novelty,"The Cube will consist 4-5 mystery, geeky/nerdy, gaming and pop culture gears along with a T-shirt and Poster that has the winning arts."
23,Box,Randocrate,Art & Culture,"Random, excellet and unique delivered to your door once a month."
24,Box,French Box,Art & Culture,A trendy piece of France in a box
25,Box,Better Half Box,Food & Artisan Edibles,Better half box offers two thoughtfully curated boxes centered around a new and exciting theme every month. One for Guys and one for Gals.
26,Box,Flicker Box,Art & Culture,A variety of artisanal candles made from candle artists in the U.S.A
27,Box,Hammock Pack,Art & Culture,Take a much needed getaway without even leaving your home.
28,Box,MissionCute,Art & Culture,Mission Cute is dedicated to bringing you adorable accessories while contributing to the communities that need it most.
29,Box,The Handy Box,Art & Culture,"Whether you're away at college, looking for the perfect gift, or working on a home project, The Handy Box Subscription Box is a must have for every home."
30,Box,Quarterly Co,Art & Culture,A quarterly subscription service providing direct access to your favorite celebrity and popular social icons.
31,Box,Hazel Lane,Art & Culture,"The BEST OF locally produced organic, eco-chic, hipster goods from a new US locale. Destination subscription box and online a la carte Shop"
32,Box,The Austin BatBox,Food & Artisan Edibles,
33,Box,CMYFABRIK Box,Art & Culture,Custom fabric + sewing kit + sewing project OR a new sew project (you choose!)
34,Box,Landfall Freight Co.,Nerd & Novelty,Monthly new graphic novel and comics featuring cool female stories along with artsy goodies and inspiration! Make landfall in another world!
35,Box,Fiberista Club,Art & Culture,Fiberista Club delivers the best yard and spinning fiber to your doorstep every month in high customizable packages.
36,Box,HorrorDervs,Nerd & Novelty,"We are an affordable mini monthly subscription offering horror themed items such as candy, memorabilia, and custom hand made collectibles."
37,Box,PostStitch,Art & Culture,PostStitch delivers a monthly knitting project to knitters worldwide. Available in two subscription options: BigStitch and SockStitch.
38,Box,OllieCrate,Art & Culture,Collectible skateboard goods delivered to your front door every month! Monthly subscriptions starting at just $6.
39,Box,Bungalower,Family & Kids,"Join now and get exclusive offers, deals and freebies curated by Bungalower"
40,Box,Messy Box,Art & Culture,A monthly box of awesome products you can use to document your life in style.
41,Box,Happy Mail,Art & Culture,Get $50 worth of stationery at your doorstep for just $15 a month!
42,Box,Hamptons Lane,Food & Artisan Edibles,"Curated artisan ingredients, handy kitchen tools, with unique recipes delivered in a monthly themed box."
43,Box,Fresh Fiction Box Not TO Miss,Nerd & Novelty,"When you sign up for Fresh Fiction Box Not to Miss, you will receive a box with a new release print book, free eBooks and tons of swag."
44,Box,Artisan Box,Art & Culture,Artisan Box is a lifestyle box especially curated with exclusive & handcrafted art & craft of India to help Artisan earn a decent livelihood
45,Box,Anime Bento,Nerd & Novelty,"We pack each month's bento with great anime trading figures, accessories, and delicious snacks from Japan."
46,Box,Kerri's Box O' Scents,Art & Culture,When you sign up to receive a Box O' Scents you will receive a box of carefully selected scents to enjoy for every season.
47,Box,SketchBox,Art & Culture,Every month we send new premium art supplies for you to try along with an inspirational piece of art made with the supplies in the box.
48,Box,FestiDrops,Art & Culture,"FestiDrops is the first active festival themed subscription service. Airdrops each month to your door filled with pins, art, apparel & more!"
49,Box,Festy Box,Art & Culture,A monthly box of festival goodness
50,Box,Axe Packs - Guitar Strings Subscription Service,Art & Culture,A fresh set of strings every month!
